Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","27849.94","I","Valeur imputée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","28937","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","63514.11","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","g/personne/jour","4.88","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","29073.16","I","Valeur imputée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","23913","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","154","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","52832.16","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","g/personne/jour","3.95","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","28032.76","I","Valeur imputée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","42875.43","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","67725.12","I","Valeur imputée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","g/personne/jour","4.91","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","27753.95","I","Valeur imputée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","35617.07","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
