Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","02151","Poulets","2017","2017","1000 têtes","18970","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","26227","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","02151","Poulets","2018","2018","1000 têtes","12297","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2018","2018","1000 US$","14665","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","02151","Poulets","2019","2019","1000 têtes","9067","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2019","2019","1000 US$","12579","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5909","Exportations - Quantité","02151","Poulets","2019","2019","1000 têtes","1","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5922","Exportations - Valeur","02151","Poulets","2019","2019","1000 US$","1","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","02151","Poulets","2020","2020","1000 têtes","31341","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2020","2020","1000 US$","10666","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","02151","Poulets","2021","2021","1000 têtes","12470","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2021","2021","1000 US$","5526","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5909","Exportations - Quantité","02151","Poulets","2021","2021","1000 têtes","0","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5922","Exportations - Valeur","02151","Poulets","2021","2021","1000 US$","0","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
