Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","534.020133","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.492959","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","513.981256","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","-3.752458","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","USD","512.910125","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-0.208399","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","USD","512.74993","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2020","2020","%","-0.031233","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2021","2021","USD","378.082892","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2021","2021","%","-26.263688","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2022","2022","USD","344.649112","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2022","2022","%","-8.842977","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6723.928582","X","Ciffre de sources internationales",""
