Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-2.79","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-2.75","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-2.65","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-2.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-2.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.11","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.92","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.84","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-1.06","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.99","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.18","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","1.17","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.15","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1.07","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.39","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","1.39","X","Figure from international organizations",""
