Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","35643.418","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","26558.609","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","8971.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","36686.784","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","27099.874","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","9273.302","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","37769.499","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","27626.382","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","9582.625","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","38972.23","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","28150.604","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","9904.337","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","40099.462","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","28674.023","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","10239.684","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56641.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","19369.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","37348.154","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","57339.635","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","19311.652","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","38086.769","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","58087.055","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","19244.858","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","38820.239","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","58801.927","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","19170.34","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","39550.889","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","59392.255","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","19088.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","40277.814","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2879.355","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","1190.155","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","1740.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2877.013","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","1164.388","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","1769.975","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2873.883","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","1139.266","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","1799.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2866.849","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1114.672","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1827.362","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","2854.71","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1090.487","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1854.317","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","41136.546","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","11547.532","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","29770.61","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","41927.007","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","11498.038","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","30510.016","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","42705.368","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","11442.587","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","31236.431","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","43451.666","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","11382.345","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","31950.91","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","44177.969","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","11317.455","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","32651.848","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","82624.374","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","18672.1","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","63442.124","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","82896.696","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","18671.111","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","63622.346","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","83148.141","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","18651.132","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","63787.507","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","83328.988","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","18610.145","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","63930.305","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","83408.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","18546.497","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","64044.372","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","73.837","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","9.12","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","67.845","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","75.013","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","9.187","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","67.766","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","76.343","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","9.261","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","67.811","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","77.7","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","9.327","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","67.857","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","79.034","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","9.383","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","67.893","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","30208.628","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","10472.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","19311.639","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","31273.533","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","10612.667","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","20161.538","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","32353.588","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","10751.626","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","21035.94","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","33428.486","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","10890.448","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","21936.953","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","34503.774","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","11029.326","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","22865.158","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","15.015","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","14.909","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","15.181","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","15.045","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","15.38","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","15.174","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","15.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","15.283","X","Ciffre de sources internationales",""
