Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","27637.84","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","34547","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","29315.76","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","32655","E","Valeur estimée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","28324.87","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","33534","E","Valeur estimée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","28168.87","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","34436","E","Valeur estimée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","28480.02","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","35482","E","Valeur estimée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","28790.74","I","Valeur imputée",""
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","35770","E","Valeur estimée",""
"QCL","Cultures et produits animaux","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1658159","A","Chiffre officiel",""
